patent_type,state,year,patent_counts
plant,Kentucky,2011,1
plant,Kentucky,2013,1
plant,Kentucky,2014,2
plant,Kentucky,2015,5
plant,Kentucky,2016,3
plant,Kentucky,2017,4
plant,Kentucky,2020,1
plant,Kentucky,2021,2
plant,Louisiana,1978,7
plant,Louisiana,1984,4
plant,Louisiana,1985,1
plant,Louisiana,1989,1
plant,Louisiana,1992,2
plant,Louisiana,1998,12
plant,Louisiana,2000,4
plant,Louisiana,2001,5
plant,Louisiana,2002,2
plant,Louisiana,2003,6
plant,Louisiana,2004,16
plant,Louisiana,2005,1
plant,Louisiana,2006,6
plant,Louisiana,2007,2
plant,Louisiana,2008,5
plant,Louisiana,2009,7
plant,Louisiana,2010,2
plant,Louisiana,2011,6
plant,Louisiana,2012,36
plant,Louisiana,2013,9
plant,Louisiana,2014,10
plant,Louisiana,2015,26
plant,Louisiana,2016,17
plant,Louisiana,2017,12
plant,Louisiana,2018,17
plant,Louisiana,2019,11
plant,Louisiana,2020,16
plant,Louisiana,2021,4
plant,Maine,1985,1
plant,Maine,2005,1
plant,Maine,2006,3
plant,Maine,2007,1
plant,Maine,2010,1
plant,Maine,2011,1
plant,Maine,2015,1
plant,Maine,2016,1
plant,Maine,2019,7
plant,Maine,2020,3
plant,Maine,2021,2
plant,Maryland,1977,2
plant,Maryland,1978,7
plant,Maryland,1979,4
plant,Maryland,1980,2
plant,Maryland,1981,3
plant,Maryland,1982,1
plant,Maryland,1983,2
plant,Maryland,1984,4
plant,Maryland,1985,3
plant,Maryland,1986,3
plant,Maryland,1988,3
plant,Maryland,1989,7
plant,Maryland,1990,1
plant,Maryland,1991,1
plant,Maryland,1992,2
plant,Maryland,1994,3
plant,Maryland,1996,4
plant,Maryland,1998,5
plant,Maryland,1999,1
plant,Maryland,2000,1
plant,Maryland,2001,2
plant,Maryland,2002,8
plant,Maryland,2003,5
plant,Maryland,2004,2
plant,Maryland,2005,4
plant,Maryland,2006,1
plant,Maryland,2007,3
plant,Maryland,2008,4
plant,Maryland,2009,8
plant,Maryland,2010,3
plant,Maryland,2011,1
plant,Maryland,2012,1
plant,Maryland,2013,1
plant,Maryland,2015,6
plant,Maryland,2016,1
plant,Maryland,2017,12
plant,Maryland,2018,3
plant,Maryland,2019,8
plant,Maryland,2020,2
plant,Maryland,2021,7
plant,Massachusetts,1978,1
plant,Massachusetts,1979,2
plant,Massachusetts,1980,2
plant,Massachusetts,1981,5
plant,Massachusetts,1982,2
plant,Massachusetts,1983,14
plant,Massachusetts,1985,7
plant,Massachusetts,1986,3
plant,Massachusetts,1987,6
plant,Massachusetts,1988,2
plant,Massachusetts,1989,11
plant,Massachusetts,1991,4
plant,Massachusetts,1992,5
plant,Massachusetts,1993,7
plant,Massachusetts,1994,3
plant,Massachusetts,1995,2
plant,Massachusetts,1996,6
plant,Massachusetts,1997,4
plant,Massachusetts,1998,3
plant,Massachusetts,1999,2
plant,Massachusetts,2000,2
plant,Massachusetts,2001,3
plant,Massachusetts,2002,4
plant,Massachusetts,2003,1
plant,Massachusetts,2004,2
plant,Massachusetts,2005,4
plant,Massachusetts,2006,7
plant,Massachusetts,2007,6
plant,Massachusetts,2008,10
plant,Massachusetts,2009,3
plant,Massachusetts,2010,4
plant,Massachusetts,2011,10
plant,Massachusetts,2012,4
plant,Massachusetts,2013,2
plant,Massachusetts,2014,2
plant,Massachusetts,2015,3
plant,Massachusetts,2016,7
plant,Massachusetts,2017,10
plant,Massachusetts,2018,7
plant,Massachusetts,2019,2
plant,Massachusetts,2020,9
plant,Massachusetts,2021,2
plant,Michigan,1977,3
plant,Michigan,1980,1
plant,Michigan,1981,1
plant,Michigan,1983,2
plant,Michigan,1984,1
plant,Michigan,1988,2
plant,Michigan,1989,3
plant,Michigan,1992,4
plant,Michigan,1993,5
plant,Michigan,1994,6
plant,Michigan,1995,2
plant,Michigan,1997,4
plant,Michigan,1998,17
plant,Michigan,1999,2
plant,Michigan,2000,2
plant,Michigan,2001,3
plant,Michigan,2002,8
plant,Michigan,2003,8
plant,Michigan,2004,14
plant,Michigan,2005,11
plant,Michigan,2006,11
plant,Michigan,2007,11
plant,Michigan,2008,11
plant,Michigan,2009,17
plant,Michigan,2010,9
plant,Michigan,2011,36
plant,Michigan,2012,14
plant,Michigan,2013,27
plant,Michigan,2014,35
plant,Michigan,2015,27
plant,Michigan,2016,57
plant,Michigan,2017,83
plant,Michigan,2018,73
plant,Michigan,2019,125
plant,Michigan,2020,148
plant,Michigan,2021,85
plant,Michigan,2022,43
plant,Minnesota,1978,2
plant,Minnesota,1979,2
plant,Minnesota,1982,2
plant,Minnesota,1983,2
plant,Minnesota,1989,4
plant,Minnesota,1990,4
plant,Minnesota,1992,1
plant,Minnesota,1993,2
plant,Minnesota,1994,2
plant,Minnesota,1995,1
plant,Minnesota,1998,2
plant,Minnesota,1999,3
plant,Minnesota,2000,3
plant,Minnesota,2001,2
plant,Minnesota,2002,5
plant,Minnesota,2003,8
plant,Minnesota,2004,12
plant,Minnesota,2005,2
plant,Minnesota,2006,18
plant,Minnesota,2007,7
plant,Minnesota,2008,11
plant,Minnesota,2009,13
plant,Minnesota,2010,3
plant,Minnesota,2011,2
plant,Minnesota,2012,3
plant,Minnesota,2013,5
plant,Minnesota,2014,3
plant,Minnesota,2015,2
plant,Minnesota,2016,9
plant,Minnesota,2018,5
plant,Minnesota,2019,7
plant,Minnesota,2020,2
plant,Minnesota,2021,5
plant,Mississippi,1996,5
plant,Mississippi,1998,6
plant,Mississippi,1999,1
plant,Mississippi,2001,4
plant,Mississippi,2002,1
plant,Mississippi,2003,2
plant,Mississippi,2004,1
plant,Mississippi,2007,1
plant,Mississippi,2009,1
plant,Mississippi,2010,5
plant,Mississippi,2011,2
plant,Mississippi,2012,3
plant,Mississippi,2013,3
plant,Mississippi,2014,10
plant,Mississippi,2015,5
plant,Mississippi,2016,2
plant,Mississippi,2018,3
plant,Mississippi,2019,1
plant,Mississippi,2020,6
plant,Mississippi,2022,2
plant,Missouri,1977,1
plant,Missouri,1979,1
plant,Missouri,1981,1
plant,Missouri,1982,1
plant,Missouri,1983,2
plant,Missouri,1986,1
plant,Missouri,1987,1
plant,Missouri,1988,2
plant,Missouri,1989,1
plant,Missouri,1991,2
plant,Missouri,1992,2
plant,Missouri,1995,4
plant,Missouri,1997,7
plant,Missouri,1998,5
plant,Missouri,1999,8
plant,Missouri,2001,3
plant,Missouri,2002,6
plant,Missouri,2003,5
plant,Missouri,2004,10
plant,Missouri,2005,7
plant,Missouri,2006,5
plant,Missouri,2007,7
plant,Missouri,2008,4
plant,Missouri,2009,4
plant,Missouri,2010,6
plant,Missouri,2011,2
plant,Missouri,2017,2
plant,Missouri,2020,2
plant,Missouri,2021,1
plant,Montana,1977,2
plant,Montana,2019,1
plant,Montana,2020,6
plant,Montana,2021,1
plant,Nebraska,1988,2
plant,Nebraska,1989,4
plant,Nebraska,1993,5
plant,Nebraska,1997,6
plant,Nebraska,1999,4
plant,Nebraska,2000,16
plant,Nebraska,2001,8
plant,Nebraska,2003,25
plant,Nebraska,2004,2
plant,Nebraska,2006,2
plant,Nebraska,2007,1
plant,Nebraska,2009,6
plant,Nebraska,2010,4
plant,Nebraska,2012,1
plant,Nebraska,2015,3
plant,Nebraska,2017,3
plant,New Hampshire,1991,1
plant,New Hampshire,1993,2
plant,New Hampshire,1995,2
plant,New Hampshire,1997,1
plant,New Hampshire,2004,2
plant,New Hampshire,2008,2
plant,New Hampshire,2009,1
plant,New Hampshire,2018,1
plant,New Hampshire,2019,1
plant,New Jersey,1976,2
plant,New Jersey,1977,1
plant,New Jersey,1978,9
plant,New Jersey,1979,4
plant,New Jersey,1980,6
plant,New Jersey,1981,7
plant,New Jersey,1983,5
plant,New Jersey,1984,1
plant,New Jersey,1985,11
plant,New Jersey,1986,6
plant,New Jersey,1987,2
plant,New Jersey,1988,3
plant,New Jersey,1989,26
plant,New Jersey,1990,14
plant,New Jersey,1991,3
plant,New Jersey,1992,1
plant,New Jersey,1993,8
plant,New Jersey,1994,5
plant,New Jersey,1995,6
plant,New Jersey,1997,3
plant,New Jersey,1998,6
plant,New Jersey,1999,3
plant,New Jersey,2000,9
plant,New Jersey,2001,3
plant,New Jersey,2002,5
plant,New Jersey,2003,4
plant,New Jersey,2004,7
plant,New Jersey,2005,2
