node1,node2,year,patent_counts
H03,H04,2017,1139
H04,H03,2016,1136
B32,Y10,2015,1135
G06,H03,2020,1133
G01,H04,2015,1132
H05,H01,2018,1131
G16,G06,2020,1130
H03,H04,2021,1129
B60,G01,2020,1128
H01,G06,2017,1127
G09,G06,2018,1127
G01,Y10,2016,1124
H04,H03,2021,1123
G01,H01,2018,1122
G06,G01,2014,1122
G01,C12,2019,1121
F16,B60,2020,1119
H04,G02,2016,1115
H04,G09,2019,1113
F01,Y02,2014,1112
G06,B60,2021,1110
F05,F02,2019,1109
C07,C12,2017,1106
A61,G01,2011,1105
Y10,G06,2011,1102
B60,G01,2021,1102
G01,Y10,2012,1096
H05,Y02,2018,1095
G01,Y10,2011,1095
H05,Y10,2016,1093
C07,C12,2016,1091
F01,F02,2021,1091
H02,H01,2018,1091
Y02,B60,2016,1089
H01,H04,2018,1088
H04,G02,2018,1087
H01,H02,2015,1085
H04,H01,2017,1085
G06,H03,2019,1083
B60,G01,2019,1080
C08,Y10,2014,1080
H04,G03,2019,1078
G11,G06,2017,1078
H05,Y02,2015,1075
A61,C12,2022,1074
H03,H04,2016,1074
F16,B60,2019,1073
H04,G03,2020,1072
A61,Y02,2014,1071
C12,G01,2020,1071
H04,H03,2015,1069
F02,Y02,2012,1069
G01,A61,2014,1067
G06,Y10,2012,1065
H03,H04,2015,1064
Y02,H02,2013,1064
C09,C08,2017,1064
G01,Y02,2016,1062
H01,B82,2015,1062
C07,C12,2015,1061
H02,Y02,2012,1060
G01,G06,2014,1060
A61,G06,2018,1060
H01,B82,2013,1059
G07,G06,2020,1056
Y02,Y10,2012,1052
Y02,Y10,2013,1047
G02,H01,2016,1043
G06,Y10,2015,1042
B60,Y02,2012,1040
A61,Y10,2019,1038
G02,H04,2018,1036
H01,G02,2015,1035
H04,G01,2022,1034
C07,Y02,2014,1031
C09,C08,2021,1030
A61,G16,2022,1030
F01,F05,2021,1029
H04,H01,2018,1029
G07,G06,2019,1029
Y02,G06,2017,1028
G01,H01,2015,1028
Y10,H01,2017,1027
G01,C12,2021,1027
H05,Y10,2014,1024
H01,B82,2011,1023
H01,G02,2018,1022
F16,B60,2021,1022
A61,G06,2016,1021
H01,H03,2020,1015
C09,C08,2016,1014
H01,G06,2016,1011
Y10,G01,2014,1010
H01,C09,2019,1009
G02,G09,2020,1007
H04,G01,2014,1007
C07,Y02,2021,1007
B60,F16,2017,1006
F16,Y10,2019,1005
A61,G16,2014,1004
B23,Y10,2017,1004
G16,G06,2019,1004
C08,C09,2013,1003
C12,A61,2012,1003
Y02,H01,2022,1003
H01,H04,2015,1003
G11,G06,2016,1000
H01,G11,2020,999
A61,H04,2020,997
G06,H03,2021,996
C12,G01,2019,995
G01,H04,2022,994
C12,G01,2021,994
G01,C12,2017,993
H05,H01,2014,993
H01,B82,2012,991
G07,G06,2021,991
H04,G02,2015,990
A61,G16,2015,989
G06,G11,2018,988
G06,Y02,2011,987
H05,Y10,2012,986
H01,H05,2022,985
H01,G01,2022,985
B60,H02,2021,984
C08,Y10,2013,983
B01,Y10,2014,982
C08,Y10,2015,982
B60,F16,2021,982
Y02,Y10,2011,981
B60,H02,2019,981
F02,F01,2021,981
A61,G06,2022,980
Y10,B23,2014,978
Y02,G01,2019,977
B29,Y10,2014,975
G01,Y02,2018,975
G09,G06,2015,975
F16,Y10,2018,972
G11,G06,2015,971
B01,Y02,2012,970
Y02,B60,2015,969
G06,Y10,2014,969
B29,Y10,2015,969
H04,G09,2021,966
Y10,G01,2011,964
Y02,B60,2018,963
C12,A61,2013,963
Y02,G01,2020,962
A61,Y02,2018,962
C12,C07,2013,960
A61,H04,2019,959
B32,Y10,2014,958
B01,Y10,2012,958
B23,Y10,2016,957
G06,H05,2020,957
H04,H03,2018,956
Y10,B23,2015,956
F01,Y02,2012,955
G06,B60,2019,953
C12,C07,2012,953
Y02,G06,2016,953
G01,A61,2013,953
A61,H04,2021,952
H01,C09,2020,948
G01,Y10,2017,947
G06,G16,2022,945
Y02,H04,2019,945
C12,C07,2011,944
G06,G09,2022,943
H04,H01,2016,943
H01,G06,2018,943
H01,G11,2021,943
B29,Y10,2016,943
B01,G01,2020,942
B60,H04,2020,940
F05,F01,2018,940
Y10,G01,2012,939
H02,H01,2015,936
G01,G02,2020,935
Y02,G06,2015,934
B01,Y10,2015,933
C12,G01,2017,933
H05,Y02,2014,932
C12,Y02,2016,931
B23,Y10,2015,930
B01,Y10,2011,929
H05,G06,2019,929
H03,G06,2020,927
G06,G07,2017,926
F05,F02,2021,923
C08,Y10,2011,923
H04,H01,2015,922
Y02,G01,2021,920
B60,H04,2019,919
F01,Y02,2013,919
G09,H04,2019,915
H05,Y10,2011,915
B60,H04,2021,915
H04,G03,2017,915
B60,B62,2017,914
H04,Y02,2011,914
F01,F02,2017,914
H01,G11,2014,910
G06,H05,2019,910
H01,C23,2019,909
G06,G02,2017,909
H04,H03,2014,908
B60,H02,2020,907
H01,G11,2016,906
H05,G06,2020,906
F02,Y02,2011,906
G02,H04,2015,905
F16,B60,2017,905
H01,H03,2019,904
G01,G02,2019,903
H01,G06,2015,903
G02,H01,2018,903
H02,Y02,2011,902
C09,C08,2018,901
G06,A61,2017,899
G06,G02,2018,899
Y02,H04,2020,899
F05,Y02,2017,896
H02,G01,2020,894
C08,Y10,2016,894
G01,H01,2014,893
F01,F02,2018,893
H04,G03,2021,892
G06,G09,2014,892
C07,C12,2014,892
H01,C09,2017,892
B01,Y02,2011,890
H01,G11,2019,890
C08,Y10,2012,888
H01,G02,2014,888
G06,G11,2014,886
F02,F05,2020,885
G02,G06,2017,884
G02,G03,2020,883
Y10,G06,2012,882
G01,C12,2015,881
H03,G06,2019,880
G01,C12,2016,880
H01,C23,2020,879
H01,B82,2016,879
A61,Y02,2013,879
G02,G09,2019,878
F02,F05,2019,876
B60,Y10,2019,875
F05,Y02,2018,875
C09,C08,2015,875
H02,G01,2019,874
H01,B60,2020,874
H01,H02,2014,874
C12,A61,2011,874
B29,Y10,2017,873
H01,G01,2013,872
Y02,Y10,2018,872
G06,H01,2017,872
G01,Y02,2015,872
Y02,H02,2012,871
H01,C23,2017,869
G03,G02,2020,869
H01,G11,2015,868
G11,G06,2018,868
G01,A61,2012,868
H05,Y10,2013,867
H02,B60,2021,867
G01,G02,2021,866
H02,G01,2021,866
C07,Y02,2018,864
H01,G09,2020,863
H04,B60,2020,862
A61,Y10,2018,861
G01,B60,2020,860
G01,H01,2022,860
C07,C12,2018,859
G09,H04,2020,859
F05,F01,2017,858
G06,G07,2018,857
B01,C07,2019,856
H01,H04,2014,856
H04,H03,2013,856
H05,H01,2012,856
Y10,G01,2013,855
H04,G07,2020,854
G09,G02,2020,853
G06,G16,2017,853
Y02,H04,2017,852
G06,G07,2016,852
B01,G01,2021,851
Y10,B23,2016,851
G02,G03,2019,851
H03,H04,2018,851
B01,Y10,2013,850
B01,G01,2019,850
G01,A61,2011,850
H01,C09,2021,850
H01,G11,2017,849
H05,H01,2011,849
F01,Y02,2022,848
H03,H04,2013,847
H05,Y10,2017,847
H03,H04,2014,847
C12,Y02,2020,847
Y02,F01,2019,846
H04,G03,2015,846
G06,G07,2015,845
Y02,H04,2021,845
H04,G03,2016,845
H04,G09,2017,844
H01,H02,2022,842
H02,B60,2019,842
B60,H02,2017,840
G02,G01,2019,840
H02,B60,2020,840
G06,Y10,2016,840
B01,C07,2020,839
B60,F16,2015,838
G09,H04,2021,838
G06,A61,2018,837
C07,Y02,2013,834
G03,H04,2020,832
Y02,G01,2017,832
H04,G09,2016,832
G09,G02,2019,830
F02,F01,2018,830
B29,Y10,2013,829
C08,Y10,2017,829
C07,C12,2013,829
A61,G06,2015,829
H01,Y10,2020,829
C12,G01,2016,829
G06,G01,2013,828
G01,B60,2021,828
H04,B60,2019,827
G06,G07,2013,827
F02,F01,2017,826
G02,G06,2018,825
F02,Y02,2022,821
G06,G07,2014,820
B32,Y10,2013,820
G01,B60,2019,820
G06,Y10,2013,818
H05,H01,2013,817
B60,F16,2016,817
G02,G09,2021,816
C12,A61,2022,816
H03,G06,2021,816
F02,F05,2021,814
H01,B60,2019,814
B32,Y10,2019,813
G02,H01,2015,813
Y10,A61,2012,812
C12,Y02,2019,812
F16,Y02,2019,811
Y02,H02,2022,810
H01,G11,2013,809
H01,C23,2021,809
G01,C12,2014,809
H01,C23,2016,809
G03,H04,2019,808
C07,G01,2017,808
G06,H01,2018,807
B23,Y10,2014,806
H04,G09,2015,806
Y10,B23,2013,805
B60,Y10,2013,805
G02,G01,2021,805
F16,B60,2016,801
G11,G06,2014,801
G01,H04,2014,801
Y02,F01,2020,800
F01,F05,2018,800
Y10,A61,2014,799
H04,H03,2012,797
G09,G06,2022,796
Y02,F02,2020,796
H04,G07,2021,796
G02,G01,2020,795
B01,C07,2017,793
G01,C12,2018,792
F16,Y02,2020,792
G06,A61,2016,791
Y02,H04,2016,791
C08,C09,2012,791
C12,Y02,2017,790
G06,H05,2017,790
H01,B60,2021,790
Y02,B60,2014,789
G01,G06,2013,788
Y10,A61,2011,788
A61,Y02,2012,787
Y10,B23,2017,787
A61,G16,2013,786
B60,Y10,2018,785
G03,G02,2019,785
B60,G01,2017,784
B29,Y02,2021,783
G16,A61,2021,783
F05,Y02,2022,782
Y02,G06,2018,782
B01,C07,2021,781
F16,Y10,2020,781
B01,G01,2017,781
C07,C12,2011,781
Y02,F05,2020,780
H01,G01,2012,780
C07,G01,2019,779
B60,B62,2018,779
H01,C09,2016,778
H04,G01,2013,777
C12,G01,2015,776
H02,H01,2022,776
H04,G03,2014,775
Y02,Y10,2019,775
C09,Y10,2015,775
G09,H01,2020,774
B60,Y02,2011,774
H04,H05,2019,773
G09,H04,2017,773
C12,Y02,2015,770
B60,Y10,2012,769
B62,B60,2021,769
B62,B60,2020,769
H04,B60,2021,769
H02,H04,2019,769
Y02,G06,2014,769
C07,G01,2020,768
C09,C08,2014,768
Y10,G01,2015,767
H03,H01,2020,767
G02,G03,2021,766
B29,Y10,2012,766
G11,H01,2020,766
H04,G02,2014,766
H01,G06,2022,765
G06,H05,2021,765
Y10,A61,2013,764
C12,C07,2022,763
G09,G02,2021,761
G06,G07,2022,761
Y02,F02,2019,761
H04,G07,2019,760
H03,H01,2019,760
Y10,Y02,2019,760
B62,B60,2019,759
G06,H01,2016,759
G01,Y02,2022,757
G11,H01,2021,757
Y10,B60,2014,756
G06,G16,2018,755
H01,H04,2022,755
F01,F05,2017,755
C12,Y02,2021,755
G09,G06,2014,754
B01,Y10,2016,753
H01,G02,2022,753
C09,Y10,2014,753
H01,H03,2017,753
G01,A61,2022,753
H04,G11,2014,752
H01,B82,2017,752
C09,Y10,2016,751
H01,G02,2013,751
A61,Y10,2020,751
F16,B60,2015,750
A61,G06,2014,749
Y10,H05,2014,748
H01,B82,2020,748
G02,H04,2022,748
G06,A61,2022,747
Y02,F05,2019,747
H01,G09,2021,746
G06,G07,2012,745
H01,C23,2015,744
C08,C09,2011,744
B01,C07,2016,744
C12,G01,2018,744
H01,C09,2018,743
G06,H05,2018,743
G03,G02,2021,742
Y10,B32,2014,742
H01,G06,2014,739
G03,H04,2021,739
G01,H01,2013,738
B60,B62,2016,737
G06,H03,2016,736
H05,Y02,2013,736
G01,Y02,2014,736
B29,Y02,2020,735
H05,G06,2021,734
B32,Y10,2012,734
Y02,G01,2016,733
H01,H03,2021,733
H04,G03,2018,733
H03,H04,2012,731
G06,H01,2015,730
G06,G07,2011,730
H01,C09,2015,730
Y10,C08,2013,729
H01,B82,2021,729
C12,Y02,2014,729
H04,H05,2020,728
C08,C09,2022,727
H01,G01,2011,726
G06,H01,2022,726
Y10,Y02,2018,725
H01,G11,2012,724
G16,A61,2020,724
G06,H03,2017,724
B60,G06,2022,724
C07,G01,2015,724
G06,G02,2022,723
C12,G01,2014,722
H05,Y02,2012,721
Y10,C08,2012,720
G02,G03,2017,720
G16,A61,2019,717
H01,H04,2013,717
B29,Y10,2011,716
B60,F16,2018,716
C09,Y10,2011,713
Y10,G01,2016,713
G01,H02,2019,712
H02,H04,2020,711
G02,H01,2014,710
Y10,B60,2015,710
H01,G02,2011,709
Y10,G06,2014,709
G02,H04,2014,709
H05,H01,2022,706
Y10,B32,2015,705
B60,G06,2018,704
Y10,H05,2015,703
B60,Y10,2011,702
C09,H01,2019,702
G06,Y10,2017,702
G06,G16,2016,701
C07,G01,2021,701
G07,G06,2017,701
Y10,C08,2014,700
G06,G02,2016,700
H04,G11,2017,700
B01,C07,2015,699
H01,B82,2019,698
B32,Y10,2018,698
C07,C12,2012,697
C07,G01,2016,696
Y10,C09,2013,696
Y02,H04,2015,695
H04,A61,2020,695
G11,H01,2019,695
F02,F01,2016,694
H04,G02,2022,694
G01,H02,2020,693
B60,F16,2014,692
H04,H01,2014,691
Y02,F02,2017,691
B01,Y02,2022,691
F05,Y02,2014,691
Y10,C09,2012,690
G01,C12,2013,690
G09,H04,2016,690
F16,B60,2018,690
H04,G03,2013,689
Y10,B32,2016,688
H04,G11,2019,688
Y02,F05,2021,688
B60,H02,2016,687
G11,G06,2013,686
H05,G06,2017,686
H04,Y10,2011,685
Y10,F16,2019,685
B01,G01,2016,684
G06,G01,2012,684
C09,Y10,2012,684
F01,Y02,2011,682
Y02,H05,2019,682
H03,G06,2017,682
Y02,B60,2022,682
H01,G02,2012,682
B60,G01,2018,680
G02,G06,2022,680
C07,Y02,2012,678
A61,G02,2020,677
Y10,A61,2015,677
G02,Y10,2015,676
G02,Y10,2016,676
C09,H01,2020,676
G01,C07,2020,676
H02,H01,2014,675
G16,G06,2022,674
C09,Y10,2017,673
F01,F02,2015,671
F16,Y02,2021,671
Y02,H05,2017,671
G01,C07,2017,670
B01,G01,2015,669
B60,B62,2015,669
Y10,C09,2011,669
G01,C07,2019,667
B60,G06,2017,667
G09,H04,2015,667
H04,H01,2022,666
H04,G09,2018,666
G02,G03,2016,665
H04,G11,2015,665
F02,F01,2015,664
A61,H04,2017,664
G01,H02,2021,663
G11,H01,2016,663
B60,H02,2018,663
Y10,H05,2012,662
F05,Y02,2012,661
H01,H03,2016,661
B01,Y10,2017,660
G09,H01,2021,659
H04,H05,2018,658
Y02,F01,2021,658
H04,G11,2020,657
B60,H01,2020,657
H01,C23,2018,657
Y02,H05,2020,657
H05,H04,2019,657
Y10,B60,2013,656
H01,H02,2013,656
G06,G11,2013,656
Y02,G06,2013,655
Y10,C09,2014,654
H02,B60,2017,654
Y02,B60,2013,653
H01,C23,2014,652
Y10,B32,2013,651
H01,G11,2011,651
F05,Y02,2016,651
H02,G01,2017,649
B23,Y10,2013,649
G06,H05,2016,649
F01,F02,2016,648
Y10,B82,2011,648
G02,Y10,2014,647
H03,G06,2016,647
Y10,B23,2012,646
G06,A61,2015,646
Y10,C08,2011,646
G03,G02,2017,645
C09,Y10,2013,644
B01,C07,2018,644
Y10,G06,2013,644
G11,G06,2012,643
Y02,F01,2017,643
H04,G01,2012,642
G01,B01,2020,642
Y02,H05,2016,641
H01,G09,2019,641
G06,G11,2022,641
C12,Y02,2018,641
G03,H04,2017,639
F05,F02,2018,638
C09,C08,2013,638
H04,H02,2020,636
Y10,B29,2014,636
C07,Y02,2011,636
C23,H01,2020,635
B60,H01,2021,635
G01,G02,2017,634
G06,G16,2014,634
H03,G06,2015,634
Y02,H04,2014,633
Y10,B32,2017,633
G01,G06,2012,632
B29,Y02,2019,631
Y10,G06,2015,631
F05,F01,2016,631
G01,B01,2021,630
A61,Y02,2011,629
F16,Y02,2017,628
G06,G09,2013,628
Y10,H05,2013,628
H04,A61,2019,628
H05,Y02,2011,627
G11,H01,2015,627
G03,H04,2015,626
C08,H01,2020,626
H05,G06,2018,626
B60,H01,2019,626
F05,Y02,2015,625
Y02,F02,2021,625
G03,H04,2016,624
Y02,G01,2015,624
A61,G02,2019,624
H02,G06,2020,624
G09,H01,2019,624
H04,G11,2016,623
B32,Y10,2011,623
A61,G06,2013,623
C12,G01,2013,622
Y10,B60,2012,621
G01,B01,2019,620
Y02,C07,2019,620
G06,H03,2015,619
G06,G16,2015,619
H04,H03,2011,619
H04,G03,2012,618
H04,G11,2012,618
G06,H03,2018,617
